t, c	M(t), рад	E(t), рад	Theta(t), рад	
499	0.0725766	0.20857	0.452057
500	0.0727221	0.208977	0.452915
501	0.0728675	0.209389	0.453784
502	0.0730129	0.209787	0.454623
503	0.0731584	0.210193	0.45548
504	0.0733038	0.210619	0.456378
505	0.0734493	0.211017	0.457217
506	0.0735947	0.211415	0.458056
507	0.0737402	0.211836	0.458942
508	0.0738856	0.212234	0.459781
509	0.074031	0.212632	0.460619
510	0.0741765	0.213039	0.461476
511	0.0743219	0.213437	0.462314
512	0.0744674	0.213863	0.463211
513	0.0746128	0.214261	0.464048
514	0.0747583	0.214681	0.464934
515	0.0749037	0.215079	0.465771
516	0.0750492	0.215477	0.466609
517	0.0751946	0.215884	0.467464
518	0.07534	0.216282	0.468301
519	0.0754855	0.216708	0.469198
520	0.0756309	0.2171	0.470023
521	0.0757764	0.217498	0.47086
522	0.0759218	0.217925	0.471755
523	0.0760673	0.218322	0.472592
524	0.0762127	0.21872	0.473428
525	0.0763582	0.219141	0.474312
526	0.0765036	0.219539	0.475148
527	0.076649	0.219937	0.475984
528	0.0767945	0.220344	0.476838
529	0.0769399	0.220742	0.477674
530	0.0770854	0.221168	0.478568
531	0.0772308	0.221566	0.479403
532	0.0773763	0.221964	0.480239
533	0.0775217	0.222362	0.481074
534	0.0776672	0.222782	0.481956
535	0.0778126	0.22318	0.482791
536	0.077958	0.223578	0.483626
537	0.0781035	0.223985	0.484479
538	0.0782489	0.224383	0.485313
539	0.0783944	0.224809	0.486206
540	0.0785398	0.225193	0.487011
541	0.0786853	0.225599	0.487863
542	0.0788307	0.225997	0.488697
543	0.0789761	0.226423	0.489589
544	0.0791216	0.226821	0.490423
545	0.079267	0.227219	0.491256
546	0.0794125	0.227617	0.49209
547	0.0795579	0.228038	0.49297
548	0.0797034	0.228436	0.493803
549	0.0798488	0.228834	0.494636
550	0.0799943	0.229232	0.495469
551	0.0801397	0.229639	0.49632
552	0.0802851	0.230036	0.497152
553	0.0804306	0.230463	0.498043
554	0.080576	0.230861	0.498876
555	0.0807215	0.231253	0.499696
556	0.0808669	0.231651	0.500528
557	0.0810124	0.232049	0.50136
558	0.0811578	0.232475	0.50225
559	0.0813033	0.232873	0.503082
560	0.0814487	0.233271	0.503913
561	0.0815941	0.233669	0.504744
562	0.0817396	0.23409	0.505623
563	0.081885	0.234488	0.506454
564	0.0820305	0.234886	0.507285
565	0.0821759	0.235284	0.508115
566	0.0823214	0.235681	0.508946
567	0.0824668	0.236088	0.509794
568	0.0826123	0.236486	0.510624
569	0.0827577	0.236884	0.511454
570	0.0829031	0.23731	0.512343
571	0.0830486	0.237694	0.513143
572	0.083194	0.238101	0.513991
573	0.0833395	0.238499	0.514821
574	0.0834849	0.238897	0.51565
575	0.0836304	0.239294	0.516479
576	0.0837758	0.239721	0.517367
577	0.0839212	0.240119	0.518196
578	0.0840667	0.240516	0.519025
579	0.0842121	0.240914	0.519853
580	0.0843576	0.241312	0.520682
581	0.084503	0.24171	0.52151
582	0.0846485	0.242131	0.522386
583	0.0847939	0.242529	0.523214
584	0.0849394	0.242927	0.524041
585	0.0850848	0.243325	0.524869
586	0.0852302	0.243723	0.525697
587	0.0853757	0.244121	0.526524
588	0.0855211	0.244519	0.527352
589	0.0856666	0.244939	0.528226
590	0.085812	0.245337	0.529053
591	0.0859575	0.245735	0.52988
592	0.0861029	0.246133	0.530707
593	0.0862484	0.246531	0.531533
594	0.0863938	0.246929	0.53236
595	0.0865392	0.247327	0.533186
596	0.0866847	0.247725	0.534012
597	0.0868301	0.248123	0.534838
598	0.0869756	0.248544	0.535711
599	0.087121	0.248942	0.536537
600	0.0872665	0.24934	0.537363
601	0.0874119	0.249738	0.538188
602	0.0875574	0.250136	0.539013
603	0.0877028	0.250534	0.539838
604	0.0878482	0.250931	0.540663
605	0.0879937	0.251329	0.541488
606	0.0881391	0.251727	0.542313
607	0.0882846	0.252125	0.543137
608	0.08843	0.252523	0.543962
609	0.0885755	0.252921	0.544786
610	0.0887209	0.253342	0.545657
611	0.0888663	0.25374	0.546481
612	0.0890118	0.254138	0.547305
613	0.0891572	0.254536	0.548128
614	0.0893027	0.254934	0.548952
615	0.0894481	0.255332	0.549775
616	0.0895936	0.25573	0.550598
617	0.089739	0.256128	0.551422
618	0.0898845	0.256526	0.552244
619	0.0900299	0.256923	0.553067
