t, c	M(t), рад	E(t), рад	Theta(t), рад	
469	0.0682133	0.196339	0.426196
470	0.0683587	0.196748	0.427062
471	0.0685042	0.197157	0.427928
472	0.0686496	0.197565	0.428793
473	0.0687951	0.197974	0.429659
474	0.0689405	0.198383	0.430524
475	0.0690859	0.198791	0.43139
476	0.0692314	0.1992	0.432255
477	0.0693768	0.199609	0.43312
478	0.0695223	0.200017	0.433985
479	0.0696677	0.200426	0.43485
480	0.0698132	0.200835	0.435714
481	0.0699586	0.201243	0.436579
482	0.0701041	0.201641	0.437419
483	0.0702495	0.202049	0.438283
484	0.0703949	0.202458	0.439148
485	0.0705404	0.202867	0.440012
486	0.0706858	0.203275	0.440876
487	0.0708313	0.203684	0.441739
488	0.0709767	0.204092	0.442603
489	0.0711222	0.204501	0.443466
490	0.0712676	0.20491	0.44433
491	0.0714131	0.205318	0.445193
492	0.0715585	0.205727	0.446056
493	0.0717039	0.206124	0.446895
494	0.0718494	0.206533	0.447758
495	0.0719948	0.206942	0.44862
496	0.0721403	0.20735	0.449483
497	0.0722857	0.207759	0.450345
498	0.0724312	0.208168	0.451208
499	0.0725766	0.208576	0.45207
500	0.0727221	0.208974	0.452908
501	0.0728675	0.209382	0.45377
502	0.0730129	0.209791	0.454632
503	0.0731584	0.210199	0.455493
504	0.0733038	0.210608	0.456355
505	0.0734493	0.211017	0.457216
506	0.0735947	0.211414	0.458053
507	0.0737402	0.211823	0.458914
508	0.0738856	0.212231	0.459775
509	0.074031	0.21264	0.460636
510	0.0741765	0.213049	0.461497
511	0.0743219	0.213446	0.462333
512	0.0744674	0.213855	0.463194
513	0.0746128	0.214263	0.464054
514	0.0747583	0.214672	0.464914
515	0.0749037	0.215069	0.46575
516	0.0750492	0.215478	0.46661
517	0.0751946	0.215886	0.46747
518	0.07534	0.216295	0.468329
519	0.0754855	0.216692	0.469165
520	0.0756309	0.217101	0.470024
521	0.0757764	0.21751	0.470883
522	0.0759218	0.217918	0.471742
523	0.0760673	0.218315	0.472577
524	0.0762127	0.218724	0.473436
525	0.0763582	0.219133	0.474294
526	0.0765036	0.21953	0.475129
527	0.076649	0.219939	0.475987
528	0.0767945	0.220347	0.476845
529	0.0769399	0.220744	0.47768
530	0.0770854	0.221153	0.478537
531	0.0772308	0.221562	0.479395
532	0.0773763	0.221959	0.480229
533	0.0775217	0.222368	0.481086
534	0.0776672	0.222776	0.481944
535	0.0778126	0.223174	0.482777
536	0.077958	0.223582	0.483634
537	0.0781035	0.223991	0.484491
538	0.0782489	0.224388	0.485324
539	0.0783944	0.224797	0.486181
540	0.0785398	0.225205	0.487037
541	0.0786853	0.225603	0.48787
542	0.0788307	0.226011	0.488726
543	0.0789761	0.226408	0.489558
544	0.0791216	0.226817	0.490414
545	0.079267	0.227226	0.49127
546	0.0794125	0.227623	0.492102
547	0.0795579	0.228032	0.492957
548	0.0797034	0.228429	0.493789
549	0.0798488	0.228838	0.494644
550	0.0799943	0.229235	0.495475
551	0.0801397	0.229643	0.49633
552	0.0802851	0.230052	0.497185
553	0.0804306	0.230449	0.498016
554	0.080576	0.230858	0.49887
555	0.0807215	0.231255	0.499701
556	0.0808669	0.231664	0.500555
557	0.0810124	0.232061	0.501385
558	0.0811578	0.23247	0.502239
559	0.0813033	0.232867	0.503069
560	0.0814487	0.233276	0.503923
561	0.0815941	0.233673	0.504752
